Date,Open,High,Low,Close
12/27/2022,"39.3056","39.4312","39.2095","39.3204"
12/28/2022,"39.3093","39.4750","39.1911","39.2169"
12/29/2022,"39.2058","39.5051","39.2021","39.3943"
12/30/2022,"39.4017","39.4867","39.2029","39.4388"
01/02/2023,"39.5272","39.6234","39.1921","39.3098"
01/03/2023,"39.3208","39.4682","38.7143","38.8676"
01/04/2023,"38.8786","39.1661","38.7776","39.0776"
01/05/2023,"39.0813","39.1808","38.7497","38.7755"
01/06/2023,"38.7681","39.2471","38.6317","39.2287"
01/09/2023,"39.2287","39.5522","38.7992","39.4420"
01/10/2023,"39.4383","39.6562","39.3530","39.5530"
01/11/2023,"39.5567","39.7151","39.5235","39.6414"
01/12/2023,"39.6451","40.0505","39.4787","39.9878"
01/13/2023,"39.9952","40.0541","39.5720","39.8168"
01/16/2023,"39.8683","39.9712","39.5875","39.7654"
01/17/2023,"39.7727","40.0615","39.7041","39.7630"
01/18/2023,"39.7557","40.0726","39.6441","39.6698"
01/19/2023,"39.6625","39.9547","39.6257","39.9067"
01/20/2023,"39.9141","40.0247","39.6992","40.0062"
01/23/2023,"40.0836","40.2774","39.9211","40.1776"
01/24/2023,"40.1702","40.2700","39.9565","40.2367"
01/25/2023,"40.2330","40.3217","40.0099","40.2273"
01/26/2023,"40.2237","40.3402","39.9137","40.2478"
01/27/2023,"40.2441","40.2811","39.9087","40.0615"
01/30/2023,"40.0689","40.2404","39.8352","39.8830"
01/31/2023,"39.8646","40.0926","39.7838","40.0284"
02/01/2023,"40.0394","40.6543","39.9050","40.6099"
02/02/2023,"40.6136","40.7651","40.0153","40.1035"
02/03/2023,"40.0925","40.5272","39.8783","39.8968"
02/06/2023,"40.0113","40.4404","39.3575","39.4199"
02/07/2023,"39.4163","39.7010","39.2105","39.4310"
02/08/2023,"39.4163","39.7231","39.3575","39.3685"
02/09/2023,"39.3648","39.7667","39.3575","39.5862"
02/10/2023,"39.5714","39.7416","39.1994","39.2435"
02/13/2023,"39.3317","39.5493","39.1627","39.5198"
02/14/2023,"39.5161","39.7139","39.3501","39.4604"
02/15/2023,"39.4567","39.6492","39.3943","39.6009"
02/16/2023,"39.5972","39.6787","39.3684","39.4349"
02/17/2023,"39.4386","39.5778","39.1108","39.4130"
02/20/2023,"39.5088","39.5787","39.0592","39.4867"
02/21/2023,"39.4830","39.5014","39.1992","39.2361"
02/22/2023,"39.2398","39.3024","38.9495","38.9789"
02/23/2023,"38.9716","39.1697","38.8724","38.9385"
02/24/2023,"38.9422","39.0887","38.8234","38.8565"
02/27/2023,"39.0076","39.1366","38.7584","39.0997"
02/28/2023,"39.0960","39.3352","38.8871","39.0765"
03/01/2023,"39.0839","39.5898","39.0267","39.4201"
03/02/2023,"39.4275","39.4898","39.0802","39.1541"
03/03/2023,"39.1578","39.3638","39.0230","39.2945"
03/06/2023,"39.2391","39.5199","39.1149","39.4830"
03/07/2023,"39.4608","39.5051","38.9657","38.9767"
03/08/2023,"38.9841","39.2709","38.7327","38.9657"
03/09/2023,"38.9620","39.1393","38.7731","39.1061"
03/10/2023,"39.1024","39.5384","38.9165","39.2103"
03/13/2023,"39.2140","39.7194","39.1700","39.6529"
03/14/2023,"39.6603","39.6677","39.3391","39.5493"
03/15/2023,"39.5530","39.6562","38.7681","38.9744"
03/16/2023,"38.9781","39.2650","38.9091","39.2169"
03/17/2023,"39.2132","39.4867","39.1112","39.4165"
03/20/2023,"39.4977","39.6529","39.2287","39.6234"
03/21/2023,"39.6308","39.8672","39.3685","39.7896"
03/22/2023,"39.7933","40.3143","39.6404","40.1148"
03/23/2023,"40.1185","40.3882","39.8957","39.9215"
03/24/2023,"39.9141","39.9473","39.4346","39.7638"
03/27/2023,"39.8229","39.9190","39.5302","39.9005"
03/28/2023,"39.9042","40.0963","39.8367","40.0705"
03/29/2023,"40.0742","40.2086","39.8662","40.0742"
03/30/2023,"40.0705","40.2679","39.8883","40.1831"
03/31/2023,"40.1942","40.2716","39.9325","39.9547"
04/03/2023,"40.0652","40.2347","39.7029","40.1831"
04/04/2023,"40.1610","40.4448","40.1057","40.3747"
04/05/2023,"40.3526","40.5323","40.2441","40.3069"
04/06/2023,"40.2885","40.4104","40.1035","40.2458"
04/07/2023,"40.2421","40.3550","39.9785","40.1905"
04/10/2023,"40.6284","40.6284","40.0224","40.1259"
04/11/2023,"40.1628","40.3882","40.0505","40.3254"
04/12/2023,"40.3217","40.6543","40.2310","40.6099"
04/13/2023,"40.6173","40.7911","40.4342","40.7064"
04/14/2023,"40.7138","40.9384","40.5434","40.6210"
04/17/2023,"41.0238","41.0238","40.2015","40.2716"
04/18/2023,"40.2642","40.5582","40.1880","40.5508"
04/19/2023,"40.5471","40.5878","40.2542","40.4806"
04/20/2023,"40.4880","40.6136","40.3526","40.5397"
04/21/2023,"40.5434","40.6284","40.3379","40.6062"
04/24/2023,"40.6062","40.9273","40.4337","40.8132"
04/25/2023,"40.8169","40.8981","40.4005","40.4448"
04/26/2023,"40.4374","41.0053","40.3424","40.7984"
04/27/2023,"40.8021","40.8834","40.6173","40.7503"
04/28/2023,"40.7319","40.8829","40.4448","40.7097"
05/01/2023,"41.1272","41.1272","40.5139","40.5582"
05/02/2023,"40.5545","40.6654","40.2358","40.5332"
05/03/2023,"40.5369","40.9905","40.3718","40.8723"
05/04/2023,"40.8834","41.0681","40.5952","40.6875"
05/05/2023,"40.6986","40.9746","40.5250","40.7171"
05/08/2023,"41.1827","41.1827","40.6070","40.6654"
05/09/2023,"40.6728","40.7852","40.3932","40.5028"
05/10/2023,"40.5102","40.5915","40.3195","40.4779"
05/11/2023,"40.4706","40.5360","40.1255","40.3328"
05/12/2023,"40.3439","40.4104","40.0816","40.0926"
05/15/2023,"40.1407","40.3357","39.9491","40.1887"
05/16/2023,"40.1813","40.2959","39.9308","40.1444"
05/17/2023,"40.1481","40.2938","39.9448","40.0520"
05/18/2023,"40.0631","40.0889","39.7675","39.7970"
05/19/2023,"39.8007","40.0979","39.7896","39.9264"
05/22/2023,"39.9966","40.0261","39.7815","39.9596"
05/23/2023,"39.9522","40.0678","39.6525","39.6893"
05/24/2023,"39.6967","39.9418","39.6783","39.7231"
05/25/2023,"39.7305","39.7527","39.4903","39.6308"
05/26/2023,"39.6234","39.7527","39.5235","39.6382"
05/29/2023,"39.6492","39.8084","39.3428","39.3501"
05/30/2023,"39.3538","39.7157","39.2546","39.6640"
05/31/2023,"39.6603","39.6788","39.2982","39.4940"
06/01/2023,"39.5014","39.7970","39.2877","39.7712"
06/02/2023,"39.7638","39.8081","39.5532","39.5716"
06/05/2023,"39.6382","39.8333","39.4423","39.5901"
06/06/2023,"39.5827","39.6603","39.4126","39.5088"
06/07/2023,"39.5125","39.6862","39.3135","39.5384"
06/08/2023,"39.5310","39.8599","39.4535","39.8414"
06/09/2023,"39.8377","39.8599","39.5522","39.7231"
06/12/2023,"39.7453","39.9863","39.5898","39.6525"
06/13/2023,"39.6414","40.0566","39.6341","39.8820"
06/14/2023,"39.8857","40.1518","39.7372","40.0261"
06/15/2023,"40.0372","40.4806","39.8404","40.4547"
06/16/2023,"40.4437","40.6087","40.1990","40.4215"
06/19/2023,"40.4178","40.4584","40.1954","40.3661"
06/20/2023,"40.3587","40.4474","40.2273","40.3476"
06/21/2023,"40.3513","40.6173","40.1108","40.6062"
06/22/2023,"40.5989","40.6912","40.3497","40.4843"
06/23/2023,"40.4880","40.6013","40.1111","40.2478"
06/26/2023,"40.4104","40.4104","40.1205","40.3069"
06/27/2023,"40.2959","40.5656","40.2347","40.4991"
06/28/2023,"40.5065","40.5434","40.1573","40.2126"
06/29/2023,"40.2200","40.5214","40.1296","40.1407"
06/30/2023,"40.1665","40.3988","40.0852","40.2126"
07/03/2023,"40.2531","40.3698","40.0704","40.3180"
07/04/2023,"40.3254","40.3661","40.1278","40.2035"
07/05/2023,"40.1961","40.3382","39.9878","40.0026"
07/06/2023,"40.0062","40.3530","39.9694","40.2515"
07/07/2023,"40.2367","40.5582","40.0431","40.5360"
07/10/2023,"40.4337","40.6654","40.2211","40.6543"
07/11/2023,"40.6506","40.8014","40.5553","40.7865"
07/12/2023,"40.7976","41.1457","40.5298","41.0122"
07/13/2023,"41.0196","41.4930","40.8153","41.4857"
07/14/2023,"41.4820","41.5041","41.2023","41.2685"
07/17/2023,"41.3420","41.4360","41.1766","41.2979"
07/18/2023,"41.3052","41.6408","41.2611","41.4930"
07/19/2023,"41.4967","41.6350","41.1818","41.2849"
07/20/2023,"41.2776","41.5461","41.0829","41.1272"
07/21/2023,"41.1383","41.2978","40.9083","41.0049"
07/24/2023,"41.0122","41.0786","40.7801","40.8908"
07/25/2023,"40.8834","41.0755","40.7245","40.8575"
07/26/2023,"40.8501","41.0423","40.7138","40.9647"
07/27/2023,"40.9610","41.2497","40.5176","40.5693"
07/28/2023,"40.5656","41.0142","40.5582","40.7171"
07/31/2023,"40.6986","40.8717","40.5553","40.6395"
08/01/2023,"40.6358","40.7606","40.3637","40.4816"
08/02/2023,"40.4742","40.6420","40.3439","40.4178"
08/03/2023,"40.4141","40.5716","40.1733","40.4547"
08/04/2023,"40.4621","40.8058","40.3084","40.6875"
08/07/2023,"40.7467","40.7467","40.3497","40.6654"
08/08/2023,"40.6543","40.6986","40.1660","40.2689"
08/09/2023,"40.2725","40.6321","40.2468","40.5471"
08/10/2023,"40.5582","40.6801","40.3387","40.3571"
08/11/2023,"40.3644","40.6691","40.3460","40.4584"
08/14/2023,"40.4954","40.6291","40.1850","40.3033"
08/15/2023,"40.2959","40.5568","40.2458","40.2996"
08/16/2023,"40.2959","40.5124","40.1476","40.2035"
08/17/2023,"40.2072","40.3513","40.1148","40.1813"
08/18/2023,"40.1518","40.2626","40.0284","40.1813"
08/21/2023,"40.1813","40.3254","40.0689","40.2589"
08/22/2023,"40.2626","40.3845","39.9215","39.9657"
08/23/2023,"39.9694","40.2948","39.8146","40.1518"
08/24/2023,"40.1407","40.1924","39.8146","39.8367"
08/25/2023,"39.8330","40.0668","39.7823","39.8857"
08/28/2023,"39.8968","39.9929","39.7654","39.9855"
08/29/2023,"39.9744","40.2552","39.8367","40.1998"
08/30/2023,"40.2072","40.4511","39.9050","40.3624"
08/31/2023,"40.3587","40.4289","40.0335","40.0742"
09/01/2023,"40.0668","40.3245","39.6930","39.7151"
09/04/2023,"39.7409","40.1500","39.7372","39.8894"
09/05/2023,"39.8968","39.9974","39.5606","39.7232"
09/06/2023,"39.7491","39.8713","39.5532","39.6308"
09/07/2023,"39.6418","39.8341","39.4867","39.5273"
09/08/2023,"39.5199","39.7047","39.3244","39.5384"
09/11/2023,"39.5421","39.7638","39.5198","39.7231"
09/12/2023,"39.7268","39.7970","39.4498","39.6341"
09/13/2023,"39.6267","39.7601","39.4299","39.6492"
09/14/2023,"39.6455","39.7268","39.2834","39.3241"
09/15/2023,"39.3167","39.6447","39.2945","39.3906"
09/18/2023,"39.4460","39.5384","39.2803","39.5088"
09/19/2023,"39.5051","39.6123","39.3393","39.4571"
09/20/2023,"39.4645","39.6825","39.2693","39.3943"
09/21/2023,"39.3906","39.6224","39.2650","39.3906"
09/22/2023,"39.3869","39.4349","39.1145","39.3462"
09/25/2023,"39.3647","39.3943","39.0765","39.1467"
09/26/2023,"39.1393","39.2897","38.8577","39.0691"
09/27/2023,"39.0654","39.2620","38.7550","38.8105"
09/28/2023,"38.8068","39.0950","38.5600","38.9413"
09/29/2023,"38.9339","39.2786","38.9155","39.0654"
10/02/2023,"39.0654","39.2490","38.6096","38.6096"
10/03/2023,"38.6170","38.7772","38.3598","38.4681"
10/04/2023,"38.4608","38.7091","38.3194","38.5064"
10/05/2023,"38.5210","38.6813","38.3903","38.6750"
10/06/2023,"38.6530","38.9606","38.3940","38.9165"
10/09/2023,"38.8246","38.8650","38.3801","38.7336"
10/10/2023,"38.7299","38.9422","38.4783","38.7631"
10/11/2023,"38.7595","39.1329","38.5329","38.8107"
10/12/2023,"38.8253","38.9828","38.3655","38.3837"
10/13/2023,"38.3764","38.8639","38.2561","38.3035"
10/16/2023,"38.3181","38.6886","38.1912","38.4931"
10/17/2023,"38.4894","38.7483","38.1876","38.5587"
10/18/2023,"38.5514","38.8944","38.4785","38.6163"
10/19/2023,"38.6273","38.9022","38.5036","38.7922"
10/20/2023,"38.7849","38.8179","38.5550","38.7193"
10/23/2023,"38.7412","39.1367","38.5660","39.1111"
10/24/2023,"39.1074","39.1221","38.6092","38.8142"
10/25/2023,"38.8179","38.9459","38.5441","38.7336"
10/26/2023,"38.7299","38.7805","38.4092","38.6133"
10/27/2023,"38.6096","38.8934","38.3002","38.5113"
10/30/2023,"38.5113","38.7668","38.3475","38.6899"
10/31/2023,"38.6935","39.1292","38.3766","38.4493"
11/01/2023,"38.4420","38.9192","38.1293","38.4238"
11/02/2023,"38.4202","38.7728","38.2847","38.5102"
11/03/2023,"38.5066","38.9597","38.4112","38.8981"
11/06/2023,"38.9090","38.9090","38.6014","38.6366"
11/07/2023,"38.6438","39.1140","38.3964","38.5753"
11/08/2023,"38.5826","38.6402","38.3281","38.6150"
11/09/2023,"38.6114","39.4240","38.4036","38.5739"
11/10/2023,"38.5667","38.9049","38.4564","38.6281"
11/13/2023,"38.7438","38.9268","38.5032","38.7857"
11/14/2023,"38.7821","39.5797","38.6715","39.5507"
11/15/2023,"39.5470","39.6376","38.9968","39.3259"
11/16/2023,"39.3440","39.5720","39.1921","39.3404"
11/17/2023,"39.3476","39.5760","39.1378","39.5760"
11/20/2023,"39.5832","39.7506","39.2341","39.4369"
11/21/2023,"39.4441","39.7319","39.3275","39.4415"
11/22/2023,"39.4487","39.6961","39.1233","39.2603"
11/23/2023,"39.2531","39.6524","39.1766","39.3216"
11/24/2023,"39.3144","39.6633","39.1945","39.5753"
11/27/2023,"39.5861","39.9328","39.4297","39.7137"
11/28/2023,"39.7065","40.0680","39.5644","39.9650"
11/29/2023,"39.9578","40.1703","39.7645","39.9839"
11/30/2023,"39.9875","40.0826","39.6558","39.6850"
12/01/2023,"39.6923","39.9980","39.5616","39.7792"
12/04/2023,"39.8194","39.9822","39.4868","39.6038"
12/05/2023,"39.6111","39.9583","39.5088","39.6809"
12/06/2023,"39.6735","39.8857","39.4849","39.5633"
12/07/2023,"39.5559","39.7617","39.4336","39.6735"
12/08/2023,"39.6662","39.8488","39.4320","39.5596"
12/11/2023,"39.5596","39.9196","39.5155","39.7823"
12/12/2023,"39.7749","40.1648","39.7041","39.9937"
12/13/2023,"40.0011","40.3827","39.6515","40.2901"
12/14/2023,"40.2975","40.7939","39.9430","40.7273"
12/15/2023,"40.7310","40.8279","40.0643","40.4731"
12/18/2023,"40.4805","40.8711","40.4805","40.6938"
12/19/2023,"40.6901","41.1520","40.5050","41.1220"
12/20/2023,"41.1332","41.3420","40.6383","41.1986"
12/21/2023,"41.1948","41.4816","41.0628","41.4583"
12/22/2023,"41.4546","41.5798","41.1093","41.3557"
12/25/2023,"41.3520","41.9214","40.8532","41.4734"
12/26/2023,"41.4847","41.6289","40.8421","41.4684"
12/27/2023,"41.4721","42.1063","41.2662","42.0381"
12/28/2023,"42.0306","42.5321","41.1681","42.1997"
12/29/2023,"42.2073","42.3791","41.5059","42.1043"
01/01/2024,"42.1844","42.3595","41.9405","42.1463"
01/02/2024,"42.1424","42.2261","41.6743","41.7419"
01/03/2024,"41.7380","42.0527","41.5183","41.6656"
01/04/2024,"41.6732","41.9660","41.6020","41.7533"
01/05/2024,"41.7571","42.0770","41.3826","41.8475"
01/08/2024,"41.8551","42.1009","41.5678","41.8895"
01/09/2024,"41.8819","42.0374","41.5982","41.8130"
